r_center, dphi_dlnr, phi_bin
1.176254142487347139e+02,2.579758444730508374e-02,2.294943816029131663e-03
1.285688758169043524e+02,2.709555768698286571e-02,2.410411047693955446e-03
1.405304791859670672e+02,2.784007240820124060e-02,2.476642809000632797e-03
1.536049487463974117e+02,2.798312041299046149e-02,2.489368307957982515e-03
1.678958217182215549e+02,2.751541788636243518e-02,2.447761659730150405e-03
1.835162680661873651e+02,2.646743140387968277e-02,2.354533159900356210e-03
2.005899866970047754e+02,2.490614972087838719e-02,2.215642104003111117e-03
2.192521850356766038e+02,2.292810139948577713e-02,2.039675638140435367e-03
2.396506497382223984e+02,2.064967055329316320e-02,1.836987251117208186e-03
2.619469170198087795e+02,1.819612375025598042e-02,1.618720611677776497e-03
2.863175518661607271e+02,1.569087322969183601e-02,1.395854428159069155e-03
3.129555462583755343e+02,1.324636123533323891e-02,1.178391522043905704e-03
3.420718474837368035e+02,1.095760316137521333e-02,9.747844285601815068e-04
3.738970286352779340e+02,8.898952848709505356e-03,7.916476385995173740e-04
4.086831145288457492e+02,7.124142766494052231e-03,6.337611732552010310e-04
4.467055774971697133e+02,5.669185724708944094e-03,5.043287191255050889e-04
4.882655188657067242e+02,4.557358671929530314e-03,4.054209851676244310e-04
5.336920533854499809e+02,3.805248652370862416e-03,3.385135488576320622e-04
5.833449155051175694e+02,3.428727671448440154e-03,3.050183780776638477e-04
6.376173081218863672e+02,3.447727194450073921e-03,3.067085687972316912e-04
6.969390163700397807e+02,3.888796653118479791e-03,3.459459488968291761e-04
7.617798111057361439e+02,4.784656496258422355e-03,4.256413177110056020e-04
8.326531690402251797e+02,6.170306513752985000e-03,5.489082439352552115e-04
9.101203389813875901e+02,8.075731858181825137e-03,7.184141959376314727e-04
9.947947863843172627e+02,1.051584584278326268e-02,9.354858566896622494e-04
1.087347051407514527e+03,1.347896047148543566e-02,1.199083466272674210e-03
1.188510058945817036e+03,1.691567153077421296e-02,1.504812043655725205e-03
1.299084922690421990e+03,2.073043343252433876e-02,1.844171887749947473e-03
1.419947289178573556e+03,2.477812170395219532e-02,2.204252777753483872e-03
1.552054272071681680e+03,2.886742373971687078e-02,2.568035613236510813e-03
1.696452031574684725e+03,3.277194327581504918e-02,2.915380264137324828e-03
1.854284059018367088e+03,3.624856465361274427e-02,3.224659249072869046e-03
2.026800232210550803e+03,3.906114384879886409e-02,3.474865280737157638e-03
2.215366713265829731e+03,4.100630503439760266e-02,3.647906118850822652e-03
2.421476767295141599e+03,4.193735849435958202e-02,3.730732299135135557e-03
2.646762587628777510e+03,4.178235872369457510e-02,3.716943575392407228e-03
2.893008221217237406e+03,4.055315660315834958e-02,3.607594197704094407e-03
3.162163696566648014e+03,3.834382306807657820e-02,3.411052682577419420e-03
3.456360466088422527e+03,3.531870761561083094e-02,3.141939502054981632e-03
3.777928285151694126e+03,3.169221877349370081e-02,2.819328361499736247e-03
4.129413661504391712e+03,2.770376795134222789e-02,2.464517213637052763e-03
4.513600021164621467e+03,2.359192301057884411e-02,2.098728969448889446e-03
4.933529750476805020e+03,1.957159072304014147e-02,1.741081657914145047e-03
5.392528288884461290e+03,1.581711156223175943e-02,1.407084544730645426e-03
5.894230463211208189e+03,1.245278510670640854e-02,1.107795275613913596e-03
6.442609271992153481e+03,9.550894983130183910e-03,8.496441759440773265e-04
7.042007347799889430e+03,7.136083195170380387e-03,6.348233894874009530e-04
7.697171346716433618e+03,5.194144137959250292e-03,4.620691907539732830e-04
8.413289537282667879e+03,3.683039250510924869e-03,3.276418445074838438e-04
9.196032886593564399e+03,2.544116264638659423e-03,2.263236661059384004e-04
1.005159996890157527e+04,1.712008114406249120e-03,1.522996249192916341e-04
1.098676605236106479e+04,1.122310277971574205e-03,9.984031789324606201e-05
1.200893675263366640e+04,7.167345145346140384e-04,6.376044413094976286e-05
1.312620667823938857e+04,4.459046013506140038e-04,3.966751265021664142e-05
1.434742353206831649e+04,2.702488448506445268e-04,2.404123985119097049e-05
