# Q scale_from_stat scale_from_total
# # scale_from_stat = I/sigma_stat^2
# # scale_from_total = I/sigma_total^2
2.790065764792984794e-04 1.722685633203360073e-02 1.722685633203360073e-02
2.800291745512391295e-04 1.729251638345346426e-02 1.729251638345346426e-02
2.810555205879411347e-04 1.735872369166251844e-02 1.735872369166251844e-02
2.820856283262182106e-04 1.742548313687157513e-02 1.742548313687157513e-02
2.831195115532322533e-04 1.749279965099589593e-02 1.749279965099589593e-02
2.841571841066768949e-04 1.756067821842717883e-02 1.756067821842717883e-02
2.851986598749630644e-04 1.762912387682025878e-02 1.762912387682025878e-02
2.862439527974036820e-04 1.769814171789471993e-02 1.769814171789471993e-02
2.872930768644022556e-04 1.776773688825194347e-02 1.776773688825194347e-02
2.883460461176386050e-04 1.783791459020729955e-02 1.783791459020729955e-02
2.894028746502577297e-04 1.790868008263819117e-02 1.790868008263819117e-02
2.904635766070569423e-04 1.798003868184767234e-02 1.798003868184767234e-02
2.915281661846772301e-04 1.805199576244459828e-02 1.805199576244459828e-02
2.925966576317917981e-04 1.812455675823952325e-02 1.812455675823952325e-02
2.936690652492977014e-04 1.819772716315750521e-02 1.819772716315750521e-02
2.947454033905057974e-04 1.827151253216731733e-02 1.827151253216731733e-02
2.958256864613346558e-04 1.834591848222776392e-02 1.834591848222776392e-02
2.969099289205024078e-04 1.842095069325100712e-02 1.842095069325100712e-02
2.979981452797203305e-04 1.849661490908311584e-02 1.849661490908311584e-02
2.990903501038874070e-04 1.857291693850226036e-02 1.857291693850226036e-02
3.001865580112841273e-04 1.864986265623435474e-02 1.864986265623435474e-02
3.012867836737699763e-04 1.872745800398685143e-02 1.872745800398685143e-02
3.023910418169788606e-04 1.880570899150026121e-02 1.880570899150026121e-02
3.034993472205151869e-04 1.888462169761799883e-02 1.888462169761799883e-02
3.046117147181536260e-04 1.896420227137468606e-02 1.896420227137468606e-02
3.057281591980364919e-04 1.904445693310284279e-02 1.904445693310284279e-02
3.068486956028731267e-04 1.912539197555828199e-02 1.912539197555828199e-02
3.079733389301403152e-04 1.920701376506436797e-02 1.920701376506436797e-02
3.091021042322817237e-04 1.928932874267524217e-02 1.928932874267524217e-02
3.102350066169112970e-04 1.937234342535805801e-02 1.937234342535805801e-02
3.113720612470142687e-04 1.945606440719465161e-02 1.945606440719465161e-02
3.125132833411505039e-04 1.954049836060225628e-02 1.954049836060225628e-02
3.136586881736570819e-04 1.962565203757385413e-02 1.962565203757385413e-02
3.148082910748547288e-04 1.971153227093811952e-02 1.971153227093811952e-02
3.159621074312515387e-04 1.979814597563887835e-02 1.979814597563887835e-02
3.171201526857496227e-04 1.988550015003436380e-02 1.988550015003436380e-02
3.182824423378505111e-04 1.997360187721616137e-02 1.997360187721616137e-02
3.194489919438645671e-04 2.006245832634830084e-02 2.006245832634830084e-02
3.206198171171178524e-04 2.015207675402590562e-02 2.015207675402590562e-02
3.217949335281618663e-04 2.024246450565414523e-02 2.024246450565414523e-02
3.229743569049818206e-04 2.033362901684680410e-02 2.033362901684680410e-02
3.241581030332090895e-04 2.042557781484532001e-02 2.042557781484532001e-02
3.253461877563313819e-04 2.051831851995756378e-02 2.051831851995756378e-02
3.265386269759052991e-04 2.061185884701670010e-02 2.061185884701670010e-02
3.277354366517679172e-04 2.070620660686007738e-02 2.070620660686007738e-02
3.289366328022522178e-04 2.080136970782830649e-02 2.080136970782830649e-02
3.301422315044003509e-04 2.089735615728405965e-02 2.089735615728405965e-02
3.313522488941794989e-04 2.099417406315105122e-02 2.099417406315105122e-02
3.325667011666962243e-04 2.109183163547252368e-02 2.109183163547252368e-02
3.337856045764155317e-04 2.119033718799019639e-02 2.119033718799019639e-02
3.350089754373770587e-04 2.128969913974227551e-02 2.128969913974227551e-02
3.362368301234134335e-04 2.138992601668155205e-02 2.138992601668155205e-02
3.374691850683703143e-04 2.149102645331291833e-02 2.149102645331291833e-02
3.387060567663244216e-04 2.159300919435019547e-02 2.159300919435019547e-02
3.399474617718066679e-04 2.169588309639259791e-02 2.169588309639259791e-02
3.411934167000227379e-04 2.179965712962014801e-02 2.179965712962014801e-02
3.424439382270742121e-04 2.190434037950799925e-02 2.190434037950799925e-02
3.436990430901840261e-04 2.200994204856003555e-02 2.200994204856003555e-02
3.449587480879189494e-04 2.211647145806084486e-02 2.211647145806084486e-02
3.462230700804148822e-04 2.222393804984631321e-02 2.222393804984631321e-02
3.474920259896028575e-04 2.233235138809264164e-02 2.233235138809264164e-02
3.487656327994340675e-04 2.244172116112330348e-02 2.244172116112330348e-02
3.500439075561093344e-04 2.255205718323421635e-02 2.255205718323421635e-02
3.513268673683058179e-04 2.266336939653642094e-02 2.266336939653642094e-02
3.526145294074067025e-04 2.277566787281625274e-02 2.277566787281625274e-02
3.539069109077296396e-04 2.288896281541275002e-02 2.288896281541275002e-02
3.552040291667595798e-04 2.300326456111228407e-02 2.300326456111228407e-02
3.565059015453787318e-04 2.311858358205960001e-02 2.311858358205960001e-02
3.578125454680997747e-04 2.323493048768567742e-02 2.323493048768567742e-02
3.591239784232975519e-04 2.335231602665140821e-02 2.335231602665140821e-02
3.604402179634453728e-04 2.347075108880782371e-02 2.347075108880782371e-02
3.617612817053484416e-04 2.359024670717147290e-02 2.359024670717147290e-02
3.630871873303803221e-04 2.371081405991555188e-02 2.371081405991555188e-02
3.644179525847181548e-04 2.383246447237585136e-02 2.383246447237585136e-02
3.657535952795825914e-04 2.395520941907210155e-02 2.395520941907210155e-02
3.670941332914743130e-04 2.407906052574328160e-02 2.407906052574328160e-02
3.684395845624143439e-04 2.420402957139778169e-02 2.420402957139778169e-02
3.697899671001826302e-04 2.433012849037708911e-02 2.433012849037708911e-02
3.711452989785611720e-04 2.445736937443378917e-02 2.445736937443378917e-02
3.725055983375746079e-04 2.458576447482265295e-02 2.458576447482265295e-02
3.738708833837336726e-04 2.471532620440521424e-02 2.471532620440521424e-02
3.752411723902773538e-04 2.484606713976708278e-02 2.484606713976708278e-02
3.766164836974197102e-04 2.497800002334843797e-02 2.497800002334843797e-02
3.779968357125939259e-04 2.511113776558669686e-02 2.511113776558669686e-02
3.793822469106989661e-04 2.524549344707170684e-02 2.524549344707170684e-02
3.807727358343473176e-04 2.538108032071297038e-02 2.538108032071297038e-02
3.821683210941115359e-04 2.551791181391883240e-02 2.551791181391883240e-02
3.835690213687756723e-04 2.565600153078756093e-02 2.565600153078756093e-02
3.849748554055840979e-04 2.579536325431008165e-02 2.579536325431008165e-02
3.863858420204913579e-04 2.593601094858400194e-02 2.593601094858400194e-02
3.878020000984162548e-04 2.607795876103947974e-02 2.607795876103947974e-02
3.892233485934930575e-04 2.622122102467626045e-02 2.622122102467626045e-02
3.906499065293255846e-04 2.636581226031211103e-02 2.636581226031211103e-02
3.920816929992421542e-04 2.651174717884267201e-02 2.651174717884267201e-02
3.935187271665497211e-04 2.665904068351258177e-02 2.665904068351258177e-02
3.949610282647925672e-04 2.680770787219845935e-02 2.680770787219845935e-02
3.964086155980086072e-04 2.695776403970318036e-02 2.695776403970318036e-02
3.978615085409865069e-04 2.710922468006191771e-02 2.710922468006191771e-02
3.993197265395275180e-04 2.726210548886045387e-02 2.726210548886045387e-02
4.007832891107040605e-04 2.741642236556555631e-02 2.741642236556555631e-02
4.022522158431212865e-04 2.757219141586796096e-02 2.757219141586796096e-02
4.037265263971797822e-04 2.772942895403829669e-02 2.772942895403829669e-02
4.052062405053369690e-04 2.788815150529630818e-02 2.788815150529630818e-02
4.066913779723738717e-04 2.804837580819417864e-02 2.804837580819417864e-02
4.081819586756581459e-04 2.821011881701395232e-02 2.821011881701395232e-02
4.096780025654113335e-04 2.837339770418025736e-02 2.837339770418025736e-02
4.111795296649741133e-04 2.853822986268839471e-02 2.853822986268839471e-02
4.126865600710766463e-04 2.870463290854940314e-02 2.870463290854940314e-02
4.141991139541061030e-04 2.887262468325206555e-02 2.887262468325206555e-02
4.157172115583772799e-04 2.904222325624329290e-02 2.904222325624329290e-02
4.172408732024019697e-04 2.921344692742757973e-02 2.921344692742757973e-02
4.187701192791634815e-04 2.938631422968733184e-02 2.938631422968733184e-02
4.203049702563877452e-04 2.956084393142397945e-02 2.956084393142397945e-02
4.218454466768182111e-04 2.973705503912242240e-02 2.973705503912242240e-02
4.233915691584890688e-04 2.991496679993925836e-02 2.991496679993925836e-02
4.249433583950038332e-04 3.009459870431703196e-02 3.009459870431703196e-02
4.265008351558105147e-04 3.027597048862517432e-02 3.027597048862517432e-02
4.280640202864803676e-04 3.045910213783012410e-02 3.045910213783012410e-02
4.296329347089854461e-04 3.064401388819576813e-02 3.064401388819576813e-02
4.312075994219809302e-04 3.083072623001666124e-02 3.083072623001666124e-02
4.327880355010846336e-04 3.101925991038545841e-02 3.101925991038545841e-02
4.343742640991598712e-04 3.120963593599698077e-02 3.120963593599698077e-02
4.359663064465968104e-04 3.140187557599076473e-02 3.140187557599076473e-02
4.375641838515994045e-04 3.159600036483537627e-02 3.159600036483537627e-02
4.391679177004685327e-04 3.179203210525537171e-02 3.179203210525537171e-02
4.407775294578889337e-04 3.198999287120500579e-02 3.198999287120500579e-02
4.423930406672169535e-04 3.218990501089027262e-02 3.218990501089027262e-02
4.440144729507668826e-04 3.239179114984246793e-02 3.239179114984246793e-02
4.456418480101031489e-04 3.259567419404659633e-02 3.259567419404659633e-02
4.472751876263295827e-04 3.280157733312685786e-02 3.280157733312685786e-02
4.489145136603792780e-04 3.300952404359261405e-02 3.300952404359261405e-02
4.505598480533101464e-04 3.321953809214885783e-02 3.321953809214885783e-02
4.522112128265967299e-04 3.343164353907327607e-02 3.343164353907327607e-02
4.538686300824253204e-04 3.364586474166436636e-02 3.364586474166436636e-02
4.555321220039901644e-04 3.386222635776398038e-02 3.386222635776398038e-02
4.572017108557887449e-04 3.408075334935751349e-02 3.408075334935751349e-02
4.588774189839224310e-04 3.430147098625685453e-02 3.430147098625685453e-02
4.605592688163940912e-04 3.452440484986824681e-02 3.452440484986824681e-02
4.622472828634070622e-04 3.474958083705042416e-02 3.474958083705042416e-02
4.639414837176690509e-04 3.497702516406690776e-02 3.497702516406690776e-02
4.656418940546927293e-04 3.520676437063634950e-02 3.520676437063634950e-02
4.673485366330997447e-04 3.543882532408529351e-02 3.543882532408529351e-02
4.690614342949256518e-04 3.567323522360807408e-02 3.567323522360807408e-02
4.707806099659238687e-04 3.591002160463777071e-02 3.591002160463777071e-02
4.725060866558754335e-04 3.614921234333361155e-02 3.614921234333361155e-02
4.742378874588948031e-04 3.639083566118830881e-02 3.639083566118830881e-02
4.759760355537402069e-04 3.663492012976091172e-02 3.663492012976091172e-02
4.777205542041216679e-04 3.688149467553892419e-02 3.688149467553892419e-02
4.794714667590155841e-04 3.713058858493573783e-02 3.713058858493573783e-02
4.812287966529749735e-04 3.738223150942662776e-02 3.738223150942662776e-02
4.829925674064443797e-04 3.763645347082901493e-02 3.763645347082901493e-02
4.847628026260724482e-04 3.789328486673113061e-02 3.789328486673113061e-02
4.865395260050311152e-04 3.815275647607477283e-02 3.815275647607477283e-02
4.883227613233304598e-04 3.841489946489547169e-02 3.841489946489547169e-02
4.901125324481382184e-04 3.867974539222590602e-02 3.867974539222590602e-02
4.919088633340972395e-04 3.894732621616622120e-02 3.894732621616622120e-02
4.937117780236486295e-04 3.921767430012696593e-02 3.921767430012696593e-02
4.955213006473522435e-04 3.949082241924783271e-02 3.949082241924783271e-02
4.973374554242097770e-04 3.976680376699735092e-02 3.976680376699735092e-02
4.991602666619891597e-04 4.004565196195732091e-02 4.004565196195732091e-02
5.009897587575485147e-04 4.032740105479643011e-02 4.032740105479643011e-02
5.028259561971651056e-04 4.061208553543718680e-02 4.061208553543718680e-02
5.046688835568621150e-04 4.089974034041912038e-02 4.089974034041912038e-02
5.065185655027355316e-04 4.119040086046225208e-02 4.119040086046225208e-02
5.083750267912876507e-04 4.148410294823527689e-02 4.148410294823527689e-02
5.102382922697561293e-04 4.178088292632960860e-02 4.178088292632960860e-02
5.121083868764474871e-04 4.208077759544404800e-02 4.208077759544404800e-02
5.139853356410710407e-04 4.238382424278169108e-02 4.238382424278169108e-02
5.158691636850717532e-04 4.269006065066159594e-02 4.269006065066159594e-02
5.177598962219700238e-04 4.299952510534838651e-02 4.299952510534838651e-02
5.196575585576971397e-04 4.331225640609982774e-02 4.331225640609982774e-02
5.215621760909327879e-04 4.362829387443513396e-02 4.362829387443513396e-02
5.234737743134475554e-04 4.394767736362493321e-02 4.394767736362493321e-02
5.253923788104429343e-04 4.427044726840333178e-02 4.427044726840333178e-02
5.273180152608931710e-04 4.459664453490248121e-02 4.459664453490248121e-02
5.292507094378905846e-04 4.492631067081025165e-02 4.492631067081025165e-02
5.311904872089876330e-04 4.525948775574942240e-02 4.525948775574942240e-02
5.331373745365465674e-04 4.559621845187918077e-02 4.559621845187918077e-02
5.350913974780847513e-04 4.593654601471621607e-02 4.593654601471621607e-02
5.370525821866247492e-04 4.628051430417437495e-02 4.628051430417437495e-02
5.390209549110417048e-04 4.662816779582047710e-02 4.662816779582047710e-02
5.409965419964184175e-04 4.697955159234454975e-02 4.697955159234454975e-02
5.429793698843953225e-04 4.733471143523983876e-02 4.733471143523983876e-02
5.449694651135258928e-04 4.769369371669054253e-02 4.769369371669054253e-02
5.469668543196293297e-04 4.805654549166207823e-02 4.805654549166207823e-02
5.489715642361506264e-04 4.842331449019098705e-02 4.842331449019098705e-02
5.509836216945159697e-04 4.879404912986748388e-02 4.879404912986748388e-02
5.530030536244930203e-04 4.916879852850723071e-02 4.916879852850723071e-02
5.550298870545490246e-04 4.954761251700454810e-02 4.954761251700454810e-02
5.570641491122160826e-04 4.993054165236333886e-02 4.993054165236333886e-02
5.591058670244520787e-04 5.031763723089623108e-02 5.031763723089623108e-02
5.611550681180059496e-04 5.070895130158687564e-02 5.070895130158687564e-02
5.632117798197812169e-04 5.110453667960640489e-02 5.110453667960640489e-02
5.652760296572064596e-04 5.150444695997821731e-02 5.150444695997821731e-02
5.673478452586019904e-04 5.190873653138040889e-02 5.190873653138040889e-02
5.694272543535497865e-04 5.231746059007923166e-02 5.231746059007923166e-02
5.715142847732633102e-04 5.273067515398362909e-02 5.273067515398362909e-02
5.736089644509627513e-04 5.314843707681317364e-02 5.314843707681317364e-02
5.757113214222471260e-04 5.357080406236865155e-02 5.357080406236865155e-02
5.778213838254697352e-04 5.399783467889703731e-02 5.399783467889703731e-02
5.799391799021153589e-04 5.442958837354098384e-02 5.442958837354098384e-02
5.820647379971761494e-04 5.486612548686308627e-02 5.486612548686308627e-02
5.841980865595342454e-04 5.530750726743676599e-02 5.530750726743676599e-02
5.863392541423411352e-04 5.575379588649243684e-02 5.575379588649243684e-02
5.884882694033974522e-04 5.620505445261051586e-02 5.620505445261051586e-02
5.906451611055407941e-04 5.666134702645372889e-02 5.666134702645372889e-02
5.928099581170277960e-04 5.712273863552681102e-02 5.712273863552681102e-02
5.949826894119215155e-04 5.758929528895807837e-02 5.758929528895807837e-02
5.971633840704792520e-04 5.806108399229309436e-02 5.806108399229309436e-02
5.993520712795398237e-04 5.853817276229354022e-02 5.853817276229354022e-02
6.015487803329180004e-04 5.902063064173510704e-02 5.902063064173510704e-02
6.037535406317934067e-04 5.950852771419622850e-02 5.950852771419622850e-02
6.059663816851060389e-04 6.000193511883449710e-02 6.000193511883449710e-02
6.081873331099483127e-04 6.050092506514380408e-02 6.050092506514380408e-02
6.104164246319653507e-04 6.100557084769146765e-02 6.100557084769146765e-02
6.126536860857500653e-04 6.151594686082938884e-02 6.151594686082938884e-02
6.148991474152442054e-04 6.203212861338042866e-02 6.203212861338042866e-02
6.171528386741362586e-04 6.255419274329768187e-02 6.255419274329768187e-02
6.194147900262675930e-04 6.308221703230014465e-02 6.308221703230014465e-02
6.216850317460337208e-04 6.361628042048418641e-02 6.361628042048418641e-02
6.239635942187904405e-04 6.415646302091740361e-02 6.415646302091740361e-02
6.262505079412583522e-04 6.470284613421793674e-02 6.470284613421793674e-02
6.285458035219348549e-04 6.525551226312986675e-02 6.525551226312986675e-02
6.308495116815008305e-04 6.581454512709904170e-02 6.581454512709904170e-02
6.331616632532329663e-04 6.638002967686433553e-02 6.638002967686433553e-02
6.354822891834169436e-04 6.695205210907405335e-02 6.695205210907405335e-02
6.378114205317585682e-04 6.753069988094288767e-02 6.753069988094288767e-02
6.401490884718041147e-04 6.811606172496760536e-02 6.811606172496760536e-02
6.424953242913551427e-04 6.870822766371707802e-02 6.870822766371707802e-02
6.448501593928853727e-04 6.930728902471913755e-02 6.930728902471913755e-02
6.472136252939651507e-04 6.991333845546811310e-02 6.991333845546811310e-02
6.495857536276800591e-04 7.052646993857505930e-02 7.052646993857505930e-02
6.519665761430557070e-04 7.114677880709083246e-02 7.114677880709083246e-02
6.543561247054829541e-04 7.177436176002949253e-02 7.177436176002949253e-02
6.567544312971415089e-04 7.240931687812310336e-02 7.240931687812310336e-02
6.591615280174326335e-04 7.305174363984420771e-02 7.305174363984420771e-02
6.615774470834059938e-04 7.370174293772785434e-02 7.370174293772785434e-02
6.640022208301894378e-04 7.435941709503238184e-02 7.435941709503238184e-02
6.664358817114254948e-04 7.502486988277998203e-02 7.502486988277998203e-02
6.688784622997034305e-04 7.569820653721549830e-02 7.569820653721549830e-02
6.713299952869950958e-04 7.637953377772792318e-02 7.637953377772792318e-02
6.737905134850941374e-04 7.706895982527950384e-02 7.706895982527950384e-02
6.762600498260516301e-04 7.776659442138680878e-02 7.776659442138680878e-02
6.787386373626215757e-04 7.847254884770386851e-02 7.847254884770386851e-02
6.812263092687006550e-04 7.918693594625213217e-02 7.918693594625213217e-02
6.837230988397705825e-04 7.990987014034849067e-02 7.990987014034849067e-02
6.862290394933477254e-04 8.064146745628192336e-02 8.064146745628192336e-02
6.887441647694276256e-04 8.138184554578636876e-02 8.138184554578636876e-02
6.912685083309346194e-04 8.213112370936230533e-02 8.213112370936230533e-02
6.938021039641729731e-04 8.288942292049616967e-02 8.288942292049616967e-02
6.963449855792763939e-04 8.365686585082653115e-02 8.365686585082653115e-02
6.988971872106661048e-04 8.443357689630902330e-02 8.443357689630902330e-02
7.014587430175042585e-04 8.521968220442305286e-02 8.521968220442305286e-02
7.040296872841490848e-04 8.601530970246930308e-02 8.601530970246930308e-02
7.066100544206176289e-04 8.682058912700379993e-02 8.682058912700379993e-02
7.091998789630438258e-04 8.763565205444674711e-02 8.763565205444674711e-02
7.117991955741416726e-04 8.846063193290926163e-02 8.846063193290926163e-02
7.144080390436685071e-04 8.929566411527241343e-02 8.929566411527241343e-02
7.170264442888917575e-04 9.014088589355347125e-02 9.014088589355347125e-02
7.196544463550535228e-04 9.099643653458651393e-02 9.099643653458651393e-02
7.222920804158435015e-04 9.186245731704634210e-02 9.186245731704634210e-02
7.249393817738682350e-04 9.273909156983235758e-02 9.273909156983235758e-02
7.275963858611207832e-04 9.362648471182970222e-02 9.362648471182970222e-02
7.302631282394596171e-04 9.452478429306096497e-02 9.452478429306096497e-02
7.329396446010818730e-04 9.543414003722817951e-02 9.543414003722817951e-02
7.356259707690012686e-04 9.635470388564806865e-02 9.635470388564806865e-02
7.383221426975289468e-04 9.728663004257197267e-02 9.728663004257197267e-02
7.410281964727510667e-04 9.823007502187425244e-02 9.823007502187425244e-02
7.437441683130168032e-04 9.918519769509390183e-02 9.918519769509390183e-02
7.464700945694204915e-04 1.001521593407957295e-01 1.001521593407957295e-01
7.492060117262861569e-04 1.011311236952184139e-01 1.011311236952184139e-01
7.519519564016601768e-04 1.021222570041702554e-01 1.021222570041702554e-01
7.547079653477985206e-04 1.031257280761183615e-01 1.031257280761183615e-01
7.574740754516590862e-04 1.041417083364174073e-01 1.041417083364174073e-01
7.602503237353965297e-04 1.051703718826144801e-01 1.051703718826144801e-01
7.630367473568547103e-04 1.062118955407553716e-01 1.062118955407553716e-01
7.658333836100683504e-04 1.072664589226208914e-01 1.072664589226208914e-01
7.686402699257598170e-04 1.083342444838013979e-01 1.083342444838013979e-01
7.714574438718383971e-04 1.094154375825224512e-01 1.094154375825224512e-01
7.742849431539069452e-04 1.105102265391269545e-01 1.105102265391269545e-01
7.771228056157641938e-04 1.116188026961069252e-01 1.116188026961069252e-01
7.799710692399112934e-04 1.127413604785818257e-01 1.127413604785818257e-01
7.828297721480617123e-04 1.138780974551122371e-01 1.138780974551122371e-01
7.856989526016478842e-04 1.150292143987329541e-01 1.150292143987329541e-01
7.885786490023377225e-04 1.161949153480942992e-01 1.161949153480942992e-01
7.914688998925473390e-04 1.173754076685881026e-01 1.173754076685881026e-01
7.943697439559530048e-04 1.185709021133423552e-01 1.185709021133423552e-01
7.972812200180151446e-04 1.197816128839724742e-01 1.197816128839724742e-01
8.002033670464936584e-04 1.210077576909644737e-01 1.210077576909644737e-01
8.031362241519708319e-04 1.222495578135860406e-01 1.222495578135860406e-01
8.060798305883757654e-04 1.235072381592141194e-01 1.235072381592141194e-01
8.090342257535058750e-04 1.247810273219762262e-01 1.247810273219762262e-01
8.119994491895596691e-04 1.260711576406166046e-01 1.260711576406166046e-01
8.149755405836633460e-04 1.273778652554943547e-01 1.273778652554943547e-01
