# Q counts scale_i
# # counts ~ Poisson(I_sys*scale_i)
2.215733465015411923e-04 2.001740000000000000e+05 9.957907714963748491e-02
2.223854437638533204e-04 1.999780000000000000e+05 9.985724277404203764e-02
2.232005174760583188e-04 1.997090000000000000e+05 1.001376680587904439e-01
2.240185785472609975e-04 2.004250000000000000e+05 1.004203740151807245e-01
2.248396379265488318e-04 2.005700000000000000e+05 1.007053785410348817e-01
2.256637066031400105e-04 2.002380000000000000e+05 1.009927003172892274e-01
2.264907956065294510e-04 2.006130000000000000e+05 1.012823601836346510e-01
2.273209160066369278e-04 2.000840000000000000e+05 1.015743775263898002e-01
2.281540789139543620e-04 2.000250000000000000e+05 1.018687711821891773e-01
2.289902954796958746e-04 1.996640000000000000e+05 1.021655624905968146e-01
2.298295768959460509e-04 2.001190000000000000e+05 1.024647715857284619e-01
2.306719343958101302e-04 2.000100000000000000e+05 1.027664184289122790e-01
2.315173792535644114e-04 1.999020000000000000e+05 1.030705236786641360e-01
2.323659227848063062e-04 1.999210000000000000e+05 1.033771080928783948e-01
2.332175763466071854e-04 2.000960000000000000e+05 1.036861927485442231e-01
2.340723513376634075e-04 1.997060000000000000e+05 1.039977991518273304e-01
2.349302591984494084e-04 1.994350000000000000e+05 1.043119480559558387e-01
2.357913114113698689e-04 2.004940000000000000e+05 1.046286606923680917e-01
2.366555195009147560e-04 2.001680000000000000e+05 1.049479602164217762e-01
2.375228950338126560e-04 2.000680000000000000e+05 1.052698674947577517e-01
2.383934496191861675e-04 1.994140000000000000e+05 1.055944052184130677e-01
2.392671949087060755e-04 2.001540000000000000e+05 1.059215940993556981e-01
2.401441425967490212e-04 2.009370000000000000e+05 1.062514587865167198e-01
2.410243044205528679e-04 2.005620000000000000e+05 1.065840210187106035e-01
2.419076921603743175e-04 2.003480000000000000e+05 1.069193038811021984e-01
2.427943176396456855e-04 1.997060000000000000e+05 1.072573303918553517e-01
2.436841927251344963e-04 2.001650000000000000e+05 1.075981235295374178e-01
2.445773293271013963e-04 1.999370000000000000e+05 1.079417077864192331e-01
2.454737393994601289e-04 2.000110000000000000e+05 1.082881066365639355e-01
2.463734349399363151e-04 2.009160000000000000e+05 1.086373439950091141e-01
2.472764279902298404e-04 2.001690000000000000e+05 1.089894441844083961e-01
2.481827306361746120e-04 1.998020000000000000e+05 1.093444309418271920e-01
2.490923550079012969e-04 2.000050000000000000e+05 1.097023300369700666e-01
2.500053132799983269e-04 1.997120000000000000e+05 1.100631659332099721e-01
2.509216176716764254e-04 1.997710000000000000e+05 1.104269636742123001e-01
2.518412804469312384e-04 2.002890000000000000e+05 1.107937484800836508e-01
2.527643139147078616e-04 1.998180000000000000e+05 1.111635464403373241e-01
2.536907304290647179e-04 1.995840000000000000e+05 1.115363831454316140e-01
2.546205423893402537e-04 2.004340000000000000e+05 1.119122848078128452e-01
2.555537622403180622e-04 2.002120000000000000e+05 1.122912775943779862e-01
2.564904024723937428e-04 2.000290000000000000e+05 1.126733885414495928e-01
2.574304756217412173e-04 1.998890000000000000e+05 1.130586437199648242e-01
2.583739942704820825e-04 2.003020000000000000e+05 1.134470712985212598e-01
2.593209710468528484e-04 1.993690000000000000e+05 1.138386978263189464e-01
2.602714186253745612e-04 2.000510000000000000e+05 1.142335513180393197e-01
2.612253497270212348e-04 1.994300000000000000e+05 1.146316597251635649e-01
2.621827771193920758e-04 2.004030000000000000e+05 1.150330506256004859e-01
2.631437136168808359e-04 2.001650000000000000e+05 1.154377533869277994e-01
2.641081720808478753e-04 1.998050000000000000e+05 1.158457965827494746e-01
2.650761654197926042e-04 2.003690000000000000e+05 1.162572086526459797e-01
2.660477065895248960e-04 2.007180000000000000e+05 1.166720188738537972e-01
2.670228085933405108e-04 1.994070000000000000e+05 1.170902579367760349e-01
2.680014844821935918e-04 2.005340000000000000e+05 1.175119544689493534e-01
2.689837473548723065e-04 1.997270000000000000e+05 1.179371393627818426e-01
2.699696103581728066e-04 2.004500000000000000e+05 1.183658430095936021e-01
2.709590866870769288e-04 2.002230000000000000e+05 1.187980960777362538e-01
2.719521895849276731e-04 1.996800000000000000e+05 1.192339295643946029e-01
2.729489323436071202e-04 2.000220000000000000e+05 1.196733755373176472e-01
2.739493283037128853e-04 2.007470000000000000e+05 1.201164649404396073e-01
2.749533908547388550e-04 1.992500000000000000e+05 1.205632301194779765e-01
2.759611334352527791e-04 2.000670000000000000e+05 1.210137036228752100e-01
2.769725695330770617e-04 1.998370000000000000e+05 1.214679181155973314e-01
2.779877126854679798e-04 1.998950000000000000e+05 1.219259063966051104e-01
2.790065764792984794e-04 1.998350000000000000e+05 1.223877022006007037e-01
2.800291745512391295e-04 1.995080000000000000e+05 1.228533392092040072e-01
2.810555205879411347e-04 1.999650000000000000e+05 1.233228516957069892e-01
2.820856283262182106e-04 1.994170000000000000e+05 1.237962739425206155e-01
2.831195115532322533e-04 1.999990000000000000e+05 1.242736405913781872e-01
2.841571841066768949e-04 1.994650000000000000e+05 1.247549872003355931e-01
2.851986598749630644e-04 2.003660000000000000e+05 1.252403491611226438e-01
2.862439527974036820e-04 2.000470000000000000e+05 1.257297624607725539e-01
2.872930768644022556e-04 2.006360000000000000e+05 1.262232636993126655e-01
2.883460461176386050e-04 1.992110000000000000e+05 1.267208891991724318e-01
2.894028746502577297e-04 1.998790000000000000e+05 1.272226763877493949e-01
2.904635766070569423e-04 2.000200000000000000e+05 1.277286627628262949e-01
2.915281661846772301e-04 2.001550000000000000e+05 1.282388859922750091e-01
2.925966576317917981e-04 2.000540000000000000e+05 1.287533851376480576e-01
2.936690652492977014e-04 1.991720000000000000e+05 1.292721981532944930e-01
2.947454033905057974e-04 1.995790000000000000e+05 1.297953646060068245e-01
2.958256864613346558e-04 2.002590000000000000e+05 1.303229245109288892e-01
2.969099289205024078e-04 1.998480000000000000e+05 1.308549175804631370e-01
2.979981452797203305e-04 2.000050000000000000e+05 1.313913843577909635e-01
2.990903501038874070e-04 1.999440000000000000e+05 1.319323661770812617e-01
3.001865580112841273e-04 2.000380000000000000e+05 1.324779041508369892e-01
3.012867836737699763e-04 2.004930000000000000e+05 1.330280402595122036e-01
3.023910418169788606e-04 2.006730000000000000e+05 1.335828172795712754e-01
3.034993472205151869e-04 2.003430000000000000e+05 1.341422776165828168e-01
3.046117147181536260e-04 2.004300000000000000e+05 1.347064651893995491e-01
3.057281591980364919e-04 1.999920000000000000e+05 1.352754233791920446e-01
3.068486956028731267e-04 2.002160000000000000e+05 1.358491972753110566e-01
3.079733389301403152e-04 2.003270000000000000e+05 1.364278311385651865e-01
3.091021042322817237e-04 2.005090000000000000e+05 1.370113708929465435e-01
3.102350066169112970e-04 2.002440000000000000e+05 1.375998622632260970e-01
3.113720612470142687e-04 2.000040000000000000e+05 1.381933521231711037e-01
3.125132833411505039e-04 2.006250000000000000e+05 1.387918871201829496e-01
3.136586881736570819e-04 1.998610000000000000e+05 1.393955151349872967e-01
3.148082910748547288e-04 1.999210000000000000e+05 1.400042844006743892e-01
3.159621074312515387e-04 1.991000000000000000e+05 1.406182436548904791e-01
3.171201526857496227e-04 1.997040000000000000e+05 1.412374423958653591e-01
3.182824423378505111e-04 1.997630000000000000e+05 1.418619305356169924e-01
3.194489919438645671e-04 1.999040000000000000e+05 1.424917587177496059e-01
3.206198171171178524e-04 1.993330000000000000e+05 1.431269779532721165e-01
3.217949335281618663e-04 2.002640000000000000e+05 1.437676403282544813e-01
3.229743569049818206e-04 2.000670000000000000e+05 1.444137980952855116e-01
3.241581030332090895e-04 2.010190000000000000e+05 1.450655044326737975e-01
3.253461877563313819e-04 1.999370000000000000e+05 1.457228131004377480e-01
3.265386269759052991e-04 1.996390000000000000e+05 1.463857786359561430e-01
3.277354366517679172e-04 1.995260000000000000e+05 1.470544560821206437e-01
3.289366328022522178e-04 2.003970000000000000e+05 1.477289011527751217e-01
3.301422315044003509e-04 2.001230000000000000e+05 1.484091705312070020e-01
3.313522488941794989e-04 1.997860000000000000e+05 1.490953210775380622e-01
3.325667011666962243e-04 1.997190000000000000e+05 1.497874110006227610e-01
3.337856045764155317e-04 2.005080000000000000e+05 1.504854988646677494e-01
3.350089754373770587e-04 1.994730000000000000e+05 1.511896439799862435e-01
3.362368301234134335e-04 2.002310000000000000e+05 1.518999065516803693e-01
3.374691850683703143e-04 2.000370000000000000e+05 1.526163473599574938e-01
3.387060567663244216e-04 1.993420000000000000e+05 1.533390284144320048e-01
3.399474617718066679e-04 1.998420000000000000e+05 1.540680117933633797e-01
3.411934167000227379e-04 2.001180000000000000e+05 1.548033609095606500e-01
3.424439382270742121e-04 1.998060000000000000e+05 1.555451398470771851e-01
3.436990430901840261e-04 2.013620000000000000e+05 1.562934135034147187e-01
3.449587480879189494e-04 1.996330000000000000e+05 1.570482476699539554e-01
3.462230700804148822e-04 1.999220000000000000e+05 1.578097088116013624e-01
3.474920259896028575e-04 1.999750000000000000e+05 1.585778644029571527e-01
3.487656327994340675e-04 2.000010000000000000e+05 1.593527827751486381e-01
3.500439075561093344e-04 1.998630000000000000e+05 1.601345331547241180e-01
3.513268673683058179e-04 2.008150000000000000e+05 1.609231856398689875e-01
3.526145294074067025e-04 1.999830000000000000e+05 1.617188111368896286e-01
3.539069109077296396e-04 2.001670000000000000e+05 1.625214816742418522e-01
3.552040291667595798e-04 1.997030000000000000e+05 1.633312701610171169e-01
3.565059015453787318e-04 2.002550000000000000e+05 1.641482503266935011e-01
3.578125454680997747e-04 1.995460000000000000e+05 1.649724969744989778e-01
3.591239784232975519e-04 1.998230000000000000e+05 1.658040859517491972e-01
3.604402179634453728e-04 1.998190000000000000e+05 1.666430939830254032e-01
3.617612817053484416e-04 1.994820000000000000e+05 1.674895988004500291e-01
3.630871873303803221e-04 1.988810000000000000e+05 1.683436793134059639e-01
3.644179525847181548e-04 2.002380000000000000e+05 1.692054151892480596e-01
3.657535952795825914e-04 2.000990000000000000e+05 1.700748873066306455e-01
3.670941332914743130e-04 1.997200000000000000e+05 1.709521777930123609e-01
3.684395845624143439e-04 1.999170000000000000e+05 1.718373694311499666e-01
3.697899671001826302e-04 2.009770000000000000e+05 1.727305464346806929e-01
3.711452989785611720e-04 2.001770000000000000e+05 1.736317940588514575e-01
3.725055983375746079e-04 1.996980000000000000e+05 1.745411985909416652e-01
3.738708833837336726e-04 1.994180000000000000e+05 1.754588474440817170e-01
3.752411723902773538e-04 1.999250000000000000e+05 1.763848292903640314e-01
3.766164836974197102e-04 2.004730000000000000e+05 1.773192339251497274e-01
3.779968357125939259e-04 1.995550000000000000e+05 1.782621522894249078e-01
3.793822469106989661e-04 2.001370000000000000e+05 1.792136765636213602e-01
3.807727358343473176e-04 1.997390000000000000e+05 1.801739001266062512e-01
3.821683210941115359e-04 1.999700000000000000e+05 1.811429174678251819e-01
3.835690213687756723e-04 2.009210000000000000e+05 1.821208245856265617e-01
3.849748554055840979e-04 2.002880000000000000e+05 1.831077184491770038e-01
3.863858420204913579e-04 2.001030000000000000e+05 1.841036974080180189e-01
3.878020000984162548e-04 2.001010000000000000e+05 1.851088612263601385e-01
3.892233485934930575e-04 1.999760000000000000e+05 1.861233107905062023e-01
3.906499065293255846e-04 1.999020000000000000e+05 1.871471483759157839e-01
3.920816929992421542e-04 2.003380000000000000e+05 1.881804776085419240e-01
3.935187271665497211e-04 1.994640000000000000e+05 1.892234034474980509e-01
3.949610282647925672e-04 2.000960000000000000e+05 1.902760321546750344e-01
3.964086155980086072e-04 1.993140000000000000e+05 1.913384715078730869e-01
3.978615085409865069e-04 1.991300000000000000e+05 1.924108305717646128e-01
3.993197265395275180e-04 2.004960000000000000e+05 1.934932198720933083e-01
4.007832891107040605e-04 1.998330000000000000e+05 1.945857513916915971e-01
4.022522158431212865e-04 1.997260000000000000e+05 1.956885384236138059e-01
4.037265263971797822e-04 2.007190000000000000e+05 1.968016959600248084e-01
4.052062405053369690e-04 2.002490000000000000e+05 1.979253402909359194e-01
4.066913779723738717e-04 1.999690000000000000e+05 1.990595892070461115e-01
4.081819586756581459e-04 1.999570000000000000e+05 2.002045620415894567e-01
4.096780025654113335e-04 2.000580000000000000e+05 2.013603797530661432e-01
4.111795296649741133e-04 2.008070000000000000e+05 2.025271647355846305e-01
4.126865600710766463e-04 2.001330000000000000e+05 2.037050409423611930e-01
4.141991139541061030e-04 1.996570000000000000e+05 2.048941339390832894e-01
4.157172115583772799e-04 2.013640000000000000e+05 2.060945709448555319e-01
4.172408732024019697e-04 2.000530000000000000e+05 2.073064806800105353e-01
4.187701192791634815e-04 1.995540000000000000e+05 2.085299935821715578e-01
4.203049702563877452e-04 1.996640000000000000e+05 2.097652417586404194e-01
4.218454466768182111e-04 1.991940000000000000e+05 2.110123588479120016e-01
4.233915691584890688e-04 2.004190000000000000e+05 2.122714803113519566e-01
4.249433583950038332e-04 1.996240000000000000e+05 2.135427432675865433e-01
4.265008351558105147e-04 1.999830000000000000e+05 2.148262866044038100e-01
4.280640202864803676e-04 1.997600000000000000e+05 2.161222508032259737e-01
4.296329347089854461e-04 2.009650000000000000e+05 2.174307783046548204e-01
4.312075994219809302e-04 2.002380000000000000e+05 2.187520131906582344e-01
4.327880355010846336e-04 1.998120000000000000e+05 2.200861013579436809e-01
4.343742640991598712e-04 2.009290000000000000e+05 2.214331905865536965e-01
4.359663064465968104e-04 1.994170000000000000e+05 2.227934304315530578e-01
4.375641838515994045e-04 1.998990000000000000e+05 2.241669723129364744e-01
4.391679177004685327e-04 2.006620000000000000e+05 2.255539695469592487e-01
4.407775294578889337e-04 1.996840000000000000e+05 2.269545773179713621e-01
4.423930406672169535e-04 1.996470000000000000e+05 2.283689527637075556e-01
4.440144729507668826e-04 2.001670000000000000e+05 2.297972549546641041e-01
4.456418480101031489e-04 1.995550000000000000e+05 2.312396449029513468e-01
4.472751876263295827e-04 1.997260000000000000e+05 2.326962856124336343e-01
4.489145136603792780e-04 1.997250000000000000e+05 2.341673420916444426e-01
4.505598480533101464e-04 1.996680000000000000e+05 2.356529813810427365e-01
4.522112128265967299e-04 1.999340000000000000e+05 2.371533726107321327e-01
4.538686300824253204e-04 2.004410000000000000e+05 2.386686868983776688e-01
4.555321220039901644e-04 1.994560000000000000e+05 2.401990975329786893e-01
4.572017108557887449e-04 2.005430000000000000e+05 2.417447799105541806e-01
4.588774189839224310e-04 2.000850000000000000e+05 2.433059116009030076e-01
4.605592688163940912e-04 1.999400000000000000e+05 2.448826722672259870e-01
4.622472828634070622e-04 2.002800000000000000e+05 2.464752438517736066e-01
4.639414837176690509e-04 2.003740000000000000e+05 2.480838105665580662e-01
4.656418940546927293e-04 2.000970000000000000e+05 2.497085587381173699e-01
4.673485366330997447e-04 1.998130000000000000e+05 2.513496771415125175e-01
4.690614342949256518e-04 2.004160000000000000e+05 2.530073567662147749e-01
4.707806099659238687e-04 2.003740000000000000e+05 2.546817909623365628e-01
4.725060866558754335e-04 2.005950000000000000e+05 2.563731755019815206e-01
4.742378874588948031e-04 1.999620000000000000e+05 2.580817085183774728e-01
4.759760355537402069e-04 2.003850000000000000e+05 2.598075906171257721e-01
4.777205542041216679e-04 2.001150000000000000e+05 2.615510248805085758e-01
4.794714667590155841e-04 2.004590000000000000e+05 2.633122168835844712e-01
4.812287966529749735e-04 2.000560000000000000e+05 2.650913747727449699e-01
4.829925674064443797e-04 2.000130000000000000e+05 2.668887092524186433e-01
4.847628026260724482e-04 2.007430000000000000e+05 2.687044336570768577e-01
4.865395260050311152e-04 2.001400000000000000e+05 2.705387639893185869e-01
4.883227613233304598e-04 1.996230000000000000e+05 2.723919189324968126e-01
4.901125324481382184e-04 2.002240000000000000e+05 2.742641199743707792e-01
4.919088633340972395e-04 2.001430000000000000e+05 2.761555912667031376e-01
4.937117780236486295e-04 2.001410000000000000e+05 2.780665598970704644e-01
4.955213006473522435e-04 2.003920000000000000e+05 2.799972557692615438e-01
4.973374554242097770e-04 1.998910000000000000e+05 2.819479117281304958e-01
4.991602666619891597e-04 2.005760000000000000e+05 2.839187635594467851e-01
5.009897587575485147e-04 1.995670000000000000e+05 2.859100500656862609e-01
5.028259561971651056e-04 1.997720000000000000e+05 2.879220131347332567e-01
5.046688835568621150e-04 1.993220000000000000e+05 2.899548977427614527e-01
5.065185655027355316e-04 2.002800000000000000e+05 2.920089520307088127e-01
5.083750267912876507e-04 2.006560000000000000e+05 2.940844273636307737e-01
5.102382922697561293e-04 1.997080000000000000e+05 2.961815784193526646e-01
5.121083868764474871e-04 1.994130000000000000e+05 2.983006631207103521e-01
5.139853356410710407e-04 1.998690000000000000e+05 3.004419428722029384e-01
5.158691636850717532e-04 2.004290000000000000e+05 3.026056824632573083e-01
5.177598962219700238e-04 2.001020000000000000e+05 3.047921502152124429e-01
5.196575585576971397e-04 2.005850000000000000e+05 3.070016180490478530e-01
5.215621760909327879e-04 1.996940000000000000e+05 3.092343614819101916e-01
5.234737743134475554e-04 2.006980000000000000e+05 3.114906597558810830e-01
5.253923788104429343e-04 1.998760000000000000e+05 3.137707958947774101e-01
5.273180152608931710e-04 2.001960000000000000e+05 3.160750567526492971e-01
5.292507094378905846e-04 2.001060000000000000e+05 3.184037330622025985e-01
5.311904872089876330e-04 2.007140000000000000e+05 3.207571196026381410e-01
5.331373745365465674e-04 1.998650000000000000e+05 3.231355151698224737e-01
5.350913974780847513e-04 1.997460000000000000e+05 3.255392226989949345e-01
5.370525821866247492e-04 1.987770000000000000e+05 3.279685493152427189e-01
5.390209549110417048e-04 1.990390000000000000e+05 3.304238064776403028e-01
5.409965419964184175e-04 2.008030000000000000e+05 3.329053099909010105e-01
5.429793698843953225e-04 1.998300000000000000e+05 3.354133800675802579e-01
5.449694651135258928e-04 2.005610000000000000e+05 3.379483414969857158e-01
5.469668543196293297e-04 2.011140000000000000e+05 3.405105236982152173e-01
5.489715642361506264e-04 2.002550000000000000e+05 3.431002607195026144e-01
5.509836216945159697e-04 1.998750000000000000e+05 3.457178914718211926e-01
5.530030536244930203e-04 2.000670000000000000e+05 3.483637596785499335e-01
5.550298870545490246e-04 2.000600000000000000e+05 3.510382140797299599e-01
5.570641491122160826e-04 1.998840000000000000e+05 3.537416084239243252e-01
5.591058670244520787e-04 2.000790000000000000e+05 3.564743016259241393e-01
5.611550681180059496e-04 1.997780000000000000e+05 3.592366578349746042e-01
5.632117798197812169e-04 1.999630000000000000e+05 3.620290465441640126e-01
5.652760296572064596e-04 2.006300000000000000e+05 3.648518426620048216e-01
5.673478452586019904e-04 1.995360000000000000e+05 3.677054266068121580e-01
5.694272543535497865e-04 1.997270000000000000e+05 3.705901844349141494e-01
5.715142847732633102e-04 1.999730000000000000e+05 3.735065079025172152e-01
5.736089644509627513e-04 1.999370000000000000e+05 3.764547945982906763e-01
5.757113214222471260e-04 2.003450000000000000e+05 3.794354480124290663e-01
5.778213838254697352e-04 2.002910000000000000e+05 3.824488776291578018e-01
5.799391799021153589e-04 2.002560000000000000e+05 3.854954990868353915e-01
5.820647379971761494e-04 1.998100000000000000e+05 3.885757341969901524e-01
5.841980865595342454e-04 1.998690000000000000e+05 3.916900110903521748e-01
5.863392541423411352e-04 2.001320000000000000e+05 3.948387643447798800e-01
5.884882694033974522e-04 1.999050000000000000e+05 3.980224350066827177e-01
5.906451611055407941e-04 2.002490000000000000e+05 4.012414707597947716e-01
5.928099581170277960e-04 2.001360000000000000e+05 4.044963260098663471e-01
5.949826894119215155e-04 2.004980000000000000e+05 4.077874619786252541e-01
5.971633840704792520e-04 1.993820000000000000e+05 4.111153468238225583e-01
5.993520712795398237e-04 2.000100000000000000e+05 4.144804556882780155e-01
6.015487803329180004e-04 2.010970000000000000e+05 4.178832708839954058e-01
6.037535406317934067e-04 1.995840000000000000e+05 4.213242819181051702e-01
6.059663816851060389e-04 1.997580000000000000e+05 4.248039856727825470e-01
6.081873331099483127e-04 1.993780000000000000e+05 4.283228863792752916e-01
6.104164246319653507e-04 1.992930000000000000e+05 4.318814958792638325e-01
6.126536860857500653e-04 1.997280000000000000e+05 4.354803336078262865e-01
6.148991474152442054e-04 2.002170000000000000e+05 4.391199267378199100e-01
6.171528386741362586e-04 2.012640000000000000e+05 4.428008102753270836e-01
6.194147900262675930e-04 1.996460000000000000e+05 4.465235271479477408e-01
6.216850317460337208e-04 2.003490000000000000e+05 4.502886283360955089e-01
6.239635942187904405e-04 2.001490000000000000e+05 4.540966729357584497e-01
6.262505079412583522e-04 1.999710000000000000e+05 4.579482282822116002e-01
6.285458035219348549e-04 2.005520000000000000e+05 4.618438700300117605e-01
6.308495116815008305e-04 1.999000000000000000e+05 4.657841822824217437e-01
6.331616632532329663e-04 2.004560000000000000e+05 4.697697576489575089e-01
6.354822891834169436e-04 2.001980000000000000e+05 4.738011973627395679e-01
6.378114205317585682e-04 2.000500000000000000e+05 4.778791114274777985e-01
6.401490884718041147e-04 1.999750000000000000e+05 4.820041186162811186e-01
6.424953242913551427e-04 2.002840000000000000e+05 4.861768466704089464e-01
6.448501593928853727e-04 2.007200000000000000e+05 4.903979323409459745e-01
6.472136252939651507e-04 1.997700000000000000e+05 4.946680215063077313e-01
6.495857536276800591e-04 1.997070000000000000e+05 4.989877692855555491e-01
6.519665761430557070e-04 1.997070000000000000e+05 5.033578401317565509e-01
6.543561247054829541e-04 1.997170000000000000e+05 5.077789079366351599e-01
6.567544312971415089e-04 2.000020000000000000e+05 5.122516561303992466e-01
6.591615280174326335e-04 1.994450000000000000e+05 5.167767778126367562e-01
6.615774470834059938e-04 2.003140000000000000e+05 5.213549758419812052e-01
6.640022208301894378e-04 2.005670000000000000e+05 5.259869629512443634e-01
6.664358817114254948e-04 2.003640000000000000e+05 5.306734618613110355e-01
6.688784622997034305e-04 1.995850000000000000e+05 5.354152054147727213e-01
6.713299952869950958e-04 2.005670000000000000e+05 5.402129366915110475e-01
6.737905134850941374e-04 2.001650000000000000e+05 5.450674091173483005e-01
6.762600498260516301e-04 2.001860000000000000e+05 5.499793865909027302e-01
6.787386373626215757e-04 2.002650000000000000e+05 5.549496436494509854e-01
6.812263092687006550e-04 2.000970000000000000e+05 5.599789655760328833e-01
6.837230988397705825e-04 2.002440000000000000e+05 5.650681485513068258e-01
6.862290394933477254e-04 1.996810000000000000e+05 5.702179997898868535e-01
6.887441647694276256e-04 2.002970000000000000e+05 5.754293377133311571e-01
6.912685083309346194e-04 1.999290000000000000e+05 5.807029920876145557e-01
6.938021039641729731e-04 2.000140000000000000e+05 5.860398042087265891e-01
6.963449855792763939e-04 1.997080000000000000e+05 5.914406270391298071e-01
6.988971872106661048e-04 2.002210000000000000e+05 5.969063254356242743e-01
7.014587430175042585e-04 2.001940000000000000e+05 6.024377762811068404e-01
7.040296872841490848e-04 2.007410000000000000e+05 6.080358687185877242e-01
7.066100544206176289e-04 2.000070000000000000e+05 6.137015043326052854e-01
7.091998789630438258e-04 2.006730000000000000e+05 6.194355973600741416e-01
7.117991955741416726e-04 1.995330000000000000e+05 6.252390748964348210e-01
7.144080390436685071e-04 2.000020000000000000e+05 6.311128771618226274e-01
7.170264442888917575e-04 1.994960000000000000e+05 6.370579576762258611e-01
7.196544463550535228e-04 2.000490000000000000e+05 6.430752835493536157e-01
7.222920804158435015e-04 1.996290000000000000e+05 6.491658357229754817e-01
7.249393817738682350e-04 1.999770000000000000e+05 6.553306092080239953e-01
7.275963858611207832e-04 2.008100000000000000e+05 6.615706134063511490e-01
7.302631282394596171e-04 2.002010000000000000e+05 6.678868723350499526e-01
7.329396446010818730e-04 1.998930000000000000e+05 6.742804249615269585e-01
7.356259707690012686e-04 1.997590000000000000e+05 6.807523254810302626e-01
7.383221426975289468e-04 1.989200000000000000e+05 6.873036436413938466e-01
7.410281964727510667e-04 1.995850000000000000e+05 6.939354650408771086e-01
7.437441683130168032e-04 1.994410000000000000e+05 7.006488914878891139e-01
7.464700945694204915e-04 1.998540000000000000e+05 7.074450413120300096e-01
7.492060117262861569e-04 1.995410000000000000e+05 7.143250497211570682e-01
7.519519564016601768e-04 2.007730000000000000e+05 7.212900691665088404e-01
7.547079653477985206e-04 2.002560000000000000e+05 7.283412696750521942e-01
7.574740754516590862e-04 1.995660000000000000e+05 7.354798392697559084e-01
7.602503237353965297e-04 2.004110000000000000e+05 7.427069843058230481e-01
7.630367473568547103e-04 1.995060000000000000e+05 7.500239298656377063e-01
7.658333836100683504e-04 1.995270000000000000e+05 7.574319201640142829e-01
7.686402699257598170e-04 2.006340000000000000e+05 7.649322189298708441e-01
7.714574438718383971e-04 2.001560000000000000e+05 7.725261098253420888e-01
7.742849431539069452e-04 2.001000000000000000e+05 7.802148968260000927e-01
7.771228056157641938e-04 1.995050000000000000e+05 7.879999046648732408e-01
7.799710692399112934e-04 2.006600000000000000e+05 7.958824792097763945e-01
7.828297721480617123e-04 2.000170000000000000e+05 8.038639879020516021e-01
7.856989526016478842e-04 2.004180000000000000e+05 8.119458201672223874e-01
7.885786490023377225e-04 1.999920000000000000e+05 8.201293878258871795e-01
7.914688998925473390e-04 1.993150000000000000e+05 8.284161255084517839e-01
7.943697439559530048e-04 1.997170000000000000e+05 8.368074910837663971e-01
7.972812200180151446e-04 1.999130000000000000e+05 8.453049660563606293e-01
8.002033670464936584e-04 2.002990000000000000e+05 8.539100559728094453e-01
8.031362241519708319e-04 2.005860000000000000e+05 8.626242908481247529e-01
8.060798305883757654e-04 2.010500000000000000e+05 8.714492255473004212e-01
8.090342257535058750e-04 1.994330000000000000e+05 8.803864401822922847e-01
8.119994491895596691e-04 2.001180000000000000e+05 8.894375405158080339e-01
8.149755405836633460e-04 1.998130000000000000e+05 8.986041583288414403e-01
8.179625397683994506e-04 2.002650000000000000e+05 9.078879518087451528e-01
8.209604867223449639e-04 2.009520000000000000e+05 9.172906059010869084e-01
