# Q I_noisy Sigma_stat Sigma_total
2.739493283037128853e-04 1.671269630683366209e+06 3.730113009264790435e+03 3.730113009264790435e+03
2.749533908547388550e-04 1.652659768675271422e+06 3.702408122036516943e+03 3.702408122036516943e+03
2.759611334352527791e-04 1.653259044310262427e+06 3.696180549093910031e+03 3.696180549093910031e+03
2.769725695330770617e-04 1.645183379283912480e+06 3.680241875784192871e+03 3.680241875784192871e+03
2.779877126854679798e-04 1.639479302698592423e+06 3.666949869249741823e+03 3.666949869249741823e+03
2.790065764792984794e-04 1.632802940220730612e+06 3.652565362288687083e+03 3.652565362288687083e+03
2.800291745512391295e-04 1.623952603032324696e+06 3.635743130314213431e+03 3.635743130314213431e+03
2.810555205879411347e-04 1.621475640973691596e+06 3.626047050076275809e+03 3.626047050076275809e+03
2.820856283262182106e-04 1.610848159231275087e+06 3.607227356365749529e+03 3.607227356365749529e+03
2.831195115532322533e-04 1.609343695479340851e+06 3.598610898791019736e+03 3.598610898791019736e+03
2.841571841066768949e-04 1.598853917396445759e+06 3.579937418063120276e+03 3.579937418063120276e+03
2.851986598749630644e-04 1.599851815665474162e+06 3.574108599185316052e+03 3.574108599185316052e+03
2.862439527974036820e-04 1.591087075046485290e+06 3.557360892574395166e+03 3.557360892574395166e+03
2.872930768644022556e-04 1.589532659193097148e+06 3.548665179348723541e+03 3.548665179348723541e+03
2.883460461176386050e-04 1.572045471420989372e+06 3.522154853738874863e+03 3.522154853738874863e+03
2.894028746502577297e-04 1.571095701451906236e+06 3.514139975778391090e+03 3.514139975778391090e+03
2.904635766070569423e-04 1.565975840296772541e+06 3.501453361734449118e+03 3.501453361734449118e+03
2.915281661846772301e-04 1.560798025117413606e+06 3.488698874319685729e+03 3.488698874319685729e+03
2.925966576317917981e-04 1.553776623318491038e+06 3.473881209278448296e+03 3.473881209278448296e+03
2.936690652492977014e-04 1.540717979931124952e+06 3.452303817923824226e+03 3.452303817923824226e+03
2.947454033905057974e-04 1.537643509888207773e+06 3.441899921340811488e+03 3.441899921340811488e+03
2.958256864613346558e-04 1.536636787054347107e+06 3.433801645370704591e+03 3.433801645370704591e+03
2.969099289205024078e-04 1.527248678882188629e+06 3.416330316800529545e+03 3.416330316800529545e+03
2.979981452797203305e-04 1.522207875178236747e+06 3.403717738578232002e+03 3.403717738578232002e+03
2.990903501038874070e-04 1.515503782685385086e+06 3.389244005622618715e+03 3.389244005622618715e+03
3.001865580112841273e-04 1.509972559440857964e+06 3.376080574647625326e+03 3.376080574647625326e+03
3.012867836737699763e-04 1.507148414791923482e+06 3.365940339567555839e+03 3.365940339567555839e+03
3.023910418169788606e-04 1.502236620597825851e+06 3.353465734384837106e+03 3.353465734384837106e+03
3.034993472205151869e-04 1.493511244625187246e+06 3.336732645607990889e+03 3.336732645607990889e+03
3.046117147181536260e-04 1.487901859188362258e+06 3.323478879484089248e+03 3.323478879484089248e+03
3.057281591980364919e-04 1.478406017916500568e+06 3.305882472716711163e+03 3.305882472716711163e+03
3.068486956028731267e-04 1.473810696092989296e+06 3.293762750516387769e+03 3.293762750516387769e+03
3.079733389301403152e-04 1.468373412727895426e+06 3.280701888780364243e+03 3.280701888780364243e+03
3.091021042322817237e-04 1.463447878035372356e+06 3.268212778729229285e+03 3.268212778729229285e+03
3.102350066169112970e-04 1.455263084616587497e+06 3.252084015780523714e+03 3.252084015780523714e+03
3.113720612470142687e-04 1.447276565241266740e+06 3.236176420519484054e+03 3.236176420519484054e+03
3.125132833411505039e-04 1.445509562286406523e+06 3.227219046970420095e+03 3.227219046970420095e+03
3.136586881736570819e-04 1.433769227126564132e+06 3.207120123852590496e+03 3.207120123852590496e+03
3.148082910748547288e-04 1.427963443089010194e+06 3.193654137122301108e+03 3.193654137122301108e+03
3.159621074312515387e-04 1.415890248840237269e+06 3.173174538017662144e+03 3.173174538017662144e+03
3.171201526857496227e-04 1.413959334099682048e+06 3.164051453501773267e+03 3.164051453501773267e+03
3.182824423378505111e-04 1.408150863630365580e+06 3.150588330583172137e+03 3.150588330583172137e+03
3.194489919438645671e-04 1.402916223358388525e+06 3.137769197163401714e+03 3.137769197163401714e+03
3.206198171171178524e-04 1.392700403868500143e+06 3.119378683346534217e+03 3.119378683346534217e+03
3.217949335281618663e-04 1.392969930804674746e+06 3.112721737049693729e+03 3.112721737049693729e+03
3.229743569049818206e-04 1.385373161281957291e+06 3.097269813578073808e+03 3.097269813578073808e+03
3.241581030332090895e-04 1.385711929146427196e+06 3.090682560401865430e+03 3.090682560401865430e+03
3.253461877563313819e-04 1.372036373345302884e+06 3.068449917328720403e+03 3.068449917328720403e+03
3.265386269759052991e-04 1.363786850473215804e+06 3.052276027765579784e+03 3.052276027765579784e+03
3.277354366517679172e-04 1.356817095624611946e+06 3.037536875271261124e+03 3.037536875271261124e+03
3.289366328022522178e-04 1.356518585302125197e+06 3.030261725724283679e+03 3.030261725724283679e+03
3.301422315044003509e-04 1.348454406716859667e+06 3.014308960439782823e+03 3.014308960439782823e+03
3.313522488941794989e-04 1.339988395048962673e+06 2.997909451214728506e+03 2.997909451214728506e+03
3.325667011666962243e-04 1.333349703194814268e+06 2.983557259817509021e+03 2.983557259817509021e+03
3.337856045764155317e-04 1.332407451300790766e+06 2.975577048595472206e+03 2.975577048595472206e+03
3.350089754373770587e-04 1.319356238621775294e+06 2.954064783674707087e+03 2.954064783674707087e+03
3.362368301234134335e-04 1.318177242800844833e+06 2.945833193570059393e+03 2.945833193570059393e+03
3.374691850683703143e-04 1.310718042073155055e+06 2.930583574966562992e+03 2.930583574966562992e+03
3.387060567663244216e-04 1.300008237049963325e+06 2.911700482708527943e+03 2.911700482708527943e+03
3.399474617718066679e-04 1.297102478793773800e+06 2.901555657298056303e+03 2.901555657298056303e+03
3.411934167000227379e-04 1.292723871266032103e+06 2.889766096992789699e+03 2.889766096992789699e+03
3.424439382270742121e-04 1.284553154129003873e+06 2.873742276500357093e+03 2.873742276500357093e+03
3.436990430901840261e-04 1.288358834107878851e+06 2.871098429685946940e+03 2.871098429685946940e+03
3.449587480879189494e-04 1.271157131402958417e+06 2.845005246786114640e+03 2.845005246786114640e+03
3.462230700804148822e-04 1.266854881778368494e+06 2.833326185769237782e+03 2.833326185769237782e+03
3.474920259896028575e-04 1.261052422120214207e+06 2.819975193009229770e+03 2.819975193009229770e+03
3.487656327994340675e-04 1.255083196646820754e+06 2.806444329017974724e+03 2.806444329017974724e+03
3.500439075561093344e-04 1.248094312092506094e+06 2.791780072647295583e+03 2.791780072647295583e+03
3.513268673683058179e-04 1.247893516409780364e+06 2.784706660030724834e+03 2.784706660030724834e+03
3.526145294074067025e-04 1.236609387579042930e+06 2.765260178296183767e+03 2.765260178296183767e+03
3.539069109077296396e-04 1.231634107306594960e+06 2.752868504565138664e+03 2.752868504565138664e+03
3.552040291667595798e-04 1.222686873145151418e+06 2.736043230407177816e+03 2.736043230407177816e+03
3.565059015453787318e-04 1.219964267675382551e+06 2.726185642912115782e+03 2.726185642912115782e+03
3.578125454680997747e-04 1.209571314367905259e+06 2.707758734808027384e+03 2.707758734808027384e+03
3.591239784232975519e-04 1.205175366173730465e+06 2.696047308575025909e+03 2.696047308575025909e+03
3.604402179634453728e-04 1.199083593709283741e+06 2.682446508031763187e+03 2.682446508031763187e+03
3.617612817053484416e-04 1.191011271318801446e+06 2.666637699367337973e+03 2.666637699367337973e+03
3.630871873303803221e-04 1.181398676868304610e+06 2.649109027583015177e+03 2.649109027583015177e+03
3.644179525847181548e-04 1.183401841933034360e+06 2.644593897739420299e+03 2.644593897739420299e+03
3.657535952795825914e-04 1.176534661694283132e+06 2.630160597222278284e+03 2.630160597222278284e+03
3.670941332914743130e-04 1.168279939912900794e+06 2.614183932070853643e+03 2.614183932070853643e+03
3.684395845624143439e-04 1.163408172866034787e+06 2.601999731079280991e+03 2.601999731079280991e+03
3.697899671001826302e-04 1.163529000216536224e+06 2.595398400653083172e+03 2.595398400653083172e+03
3.711452989785611720e-04 1.152882172790031880e+06 2.576782934121352355e+03 2.576782934121352355e+03
3.725055983375746079e-04 1.144131022429932607e+06 2.560288489394836688e+03 2.560288489394836688e+03
3.738708833837336726e-04 1.136551407380890334e+06 2.545112042808886599e+03 2.545112042808886599e+03
3.752411723902773538e-04 1.133459157481646165e+06 2.534967076743814687e+03 2.534967076743814687e+03
3.766164836974197102e-04 1.130576731933231698e+06 2.525062303529029577e+03 2.525062303529029577e+03
3.779968357125939259e-04 1.119446822766978526e+06 2.505948613214419765e+03 2.505948613214419765e+03
3.793822469106989661e-04 1.116750706963766832e+06 2.496275666640349300e+03 2.496275666640349300e+03
3.807727358343473176e-04 1.108590089128589490e+06 2.480501854323436874e+03 2.480501854323436874e+03
3.821683210941115359e-04 1.103934963593146764e+06 2.468658777684981942e+03 2.468658777684981942e+03
3.835690213687756723e-04 1.103229136245944770e+06 2.461234859288088956e+03 2.461234859288088956e+03
3.849748554055840979e-04 1.093826091528695077e+06 2.444110369812492081e+03 2.444110369812492081e+03
3.863858420204913579e-04 1.086903754879640881e+06 2.429765096931755579e+03 2.429765096931755579e+03
3.878020000984162548e-04 1.080990929738942767e+06 2.416559097800708514e+03 2.416559097800708514e+03
3.892233485934930575e-04 1.074427481171801686e+06 2.402637047341870584e+03 2.402637047341870584e+03
3.906499065293255846e-04 1.068154132909703767e+06 2.389050640759383441e+03 2.389050640759383441e+03
3.920816929992421542e-04 1.064605651691183913e+06 2.378521604101644698e+03 2.378521604101644698e+03
3.935187271665497211e-04 1.054119080229646759e+06 2.360246772321772823e+03 2.360246772321772823e+03
3.949610282647925672e-04 1.051609063601569738e+06 2.350905202409257072e+03 2.350905202409257072e+03
3.964086155980086072e-04 1.041682827448523603e+06 2.333278623254081140e+03 2.333278623254081140e+03
3.978615085409865069e-04 1.034920952257566852e+06 2.319203365511237280e+03 2.319203365511237280e+03
3.993197265395275180e-04 1.036191346304205479e+06 2.314126548011513478e+03 2.314126548011513478e+03
4.007832891107040605e-04 1.026966253031271277e+06 2.297325686152888466e+03 2.297325686152888466e+03
4.022522158431212865e-04 1.020632079982355237e+06 2.283767627850396821e+03 2.283767627850396821e+03
4.037265263971797822e-04 1.019904828669621260e+06 2.276488211004285404e+03 2.276488211004285404e+03
4.052062405053369690e-04 1.011740081920023309e+06 2.260912618415819907e+03 2.260912618415819907e+03
4.066913779723738717e-04 1.004568535465066205e+06 2.246457640571356478e+03 2.246457640571356478e+03
4.081819586756581459e-04 9.987634545433683088e+05 2.233543096591455196e+03 2.233543096591455196e+03
4.096780025654113335e-04 9.935320952678809408e+05 2.221283240124815620e+03 2.221283240124815620e+03
4.111795296649741133e-04 9.915064987068256596e+05 2.212616471461439232e+03 2.212616471461439232e+03
4.126865600710766463e-04 9.824646413960275240e+05 2.196127632571111462e+03 2.196127632571111462e+03
4.141991139541061030e-04 9.744398053843731759e+05 2.180784469964601612e+03 2.180784469964601612e+03
4.157172115583772799e-04 9.770466008727552835e+05 2.177330535733902252e+03 2.177330535733902252e+03
4.172408732024019697e-04 9.650108348942226730e+05 2.157543970207937036e+03 2.157543970207937036e+03
4.187701192791634815e-04 9.569558631447684020e+05 2.142208256775254995e+03 2.142208256775254995e+03
4.203049702563877452e-04 9.518450164862723323e+05 2.130180264489428282e+03 2.130180264489428282e+03
4.218454466768182111e-04 9.439921011620454956e+05 2.115096730892283176e+03 2.115096730892283176e+03
4.233915691584890688e-04 9.441635763129028492e+05 2.109005910673053677e+03 2.109005910673053677e+03
4.249433583950038332e-04 9.348198723374775145e+05 2.092288457657446543e+03 2.092288457657446543e+03
4.265008351558105147e-04 9.309056315266609890e+05 2.081656745022724863e+03 2.081656745022724863e+03
4.280640202864803676e-04 9.242916879570933525e+05 2.068020229915188793e+03 2.068020229915188793e+03
4.296329347089854461e-04 9.242711706546730129e+05 2.061765144282971050e+03 2.061765144282971050e+03
4.312075994219809302e-04 9.153652900349679403e+05 2.045602241310298496e+03 2.045602241310298496e+03
4.327880355010846336e-04 9.078810464047873393e+05 2.031038547795913473e+03 2.031038547795913473e+03
4.343742640991598712e-04 9.074023612619219348e+05 2.024317332667325445e+03 2.024317332667325445e+03
4.359663064465968104e-04 8.950757641898476286e+05 2.004373760557549303e+03 2.004373760557549303e+03
4.375641838515994045e-04 8.917415350595962955e+05 1.994498365187406762e+03 1.994498365187406762e+03
4.391679177004685327e-04 8.896407383254815359e+05 1.986013030261373160e+03 1.986013030261373160e+03
4.407775294578889337e-04 8.798412544032353908e+05 1.968940932484863652e+03 1.968940932484863652e+03
4.423930406672169535e-04 8.742300456514942925e+05 1.956565241440789123e+03 1.956565241440789123e+03
4.440144729507668826e-04 8.710591431542132050e+05 1.946934780855179497e+03 1.946934780855179497e+03
4.456418480101031489e-04 8.629791837111277273e+05 1.931830476152926167e+03 1.931830476152926167e+03
4.472751876263295827e-04 8.583119385612061014e+05 1.920559874933079527e+03 1.920559874933079527e+03
4.489145136603792780e-04 8.529156893356846413e+05 1.908489998644964317e+03 1.908489998644964317e+03
4.505598480533101464e-04 8.472967277131271549e+05 1.896187569646968541e+03 1.896187569646968541e+03
4.522112128265967299e-04 8.430577975721025141e+05 1.885445668537651954e+03 1.885445668537651954e+03
4.538686300824253204e-04 8.398294833094105124e+05 1.875848829651485630e+03 1.875848829651485630e+03
4.555321220039901644e-04 8.303778076127668610e+05 1.859311610453474486e+03 1.859311610453474486e+03
4.572017108557887449e-04 8.295649654739230173e+05 1.852450657325333623e+03 1.852450657325333623e+03
4.588774189839224310e-04 8.223597966998899356e+05 1.838461775756714360e+03 1.838461775756714360e+03
4.605592688163940912e-04 8.164726321747147013e+05 1.825962222189329168e+03 1.825962222189329168e+03
4.622472828634070622e-04 8.125765365727572935e+05 1.815705823158623843e+03 1.815705823158623843e+03
4.639414837176690509e-04 8.076867230570127722e+05 1.804356132265898623e+03 1.804356132265898623e+03
4.656418940546927293e-04 8.013221533581968397e+05 1.791376450655452345e+03 1.791376450655452345e+03
4.673485366330997447e-04 7.949602413354332093e+05 1.778416743296112827e+03 1.778416743296112827e+03
4.690614342949256518e-04 7.921350689623997314e+05 1.769428611718324191e+03 1.769428611718324191e+03
4.707806099659238687e-04 7.867621758228964172e+05 1.757611108435538881e+03 1.757611108435538881e+03
4.725060866558754335e-04 7.824336520668856101e+05 1.746978133792398921e+03 1.746978133792398921e+03
4.742378874588948031e-04 7.748011323544114130e+05 1.732672612705910751e+03 1.732672612705910751e+03
4.759760355537402069e-04 7.712823152088120114e+05 1.722982113689357675e+03 1.722982113689357675e+03
4.777205542041216679e-04 7.651088352317638928e+05 1.710343712611518185e+03 1.710343712611518185e+03
4.794714667590155841e-04 7.612977566043845145e+05 1.700363485984683621e+03 1.700363485984683621e+03
4.812287966529749735e-04 7.546680844350447878e+05 1.687252938367703791e+03 1.687252938367703791e+03
4.829925674064443797e-04 7.494247342281955061e+05 1.675710190057737464e+03 1.675710190057737464e+03
4.847628026260724482e-04 7.470773640311053023e+05 1.667421406388959213e+03 1.667421406388959213e+03
4.865395260050311152e-04 7.397830796916849213e+05 1.653626586738587321e+03 1.653626586738587321e+03
4.883227613233304598e-04 7.328521373993839370e+05 1.640253865160275836e+03 1.640253865160275836e+03
4.901125324481382184e-04 7.300408089060661150e+05 1.631507486547645613e+03 1.631507486547645613e+03
4.919088633340972395e-04 7.247472306534168310e+05 1.620005025935378171e+03 1.620005025935378171e+03
4.937117780236486295e-04 7.197593269542532507e+05 1.608863757954997709e+03 1.608863757954997709e+03
4.955213006473522435e-04 7.156927286642332328e+05 1.598771563142307741e+03 1.598771563142307741e+03
4.973374554242097770e-04 7.089642862570508150e+05 1.585724506509435969e+03 1.585724506509435969e+03
4.991602666619891597e-04 7.064555983740169322e+05 1.577412899585049217e+03 1.577412899585049217e+03
5.009897587575485147e-04 6.980062434116974473e+05 1.562481711896197112e+03 1.562481711896197112e+03
5.028259561971651056e-04 6.938406613130917540e+05 1.552359981763811675e+03 1.552359981763811675e+03
5.046688835568621150e-04 6.874241530378700700e+05 1.539739209139063178e+03 1.539739209139063178e+03
5.065185655027355316e-04 6.858693838226499502e+05 1.532578136436870182e+03 1.532578136436870182e+03
5.083750267912876507e-04 6.823074645564010134e+05 1.523189885924002738e+03 1.523189885924002738e+03
5.102382922697561293e-04 6.742755611803808715e+05 1.508827837008091137e+03 1.508827837008091137e+03
5.121083868764474871e-04 6.684966701508992119e+05 1.497002462612923864e+03 1.497002462612923864e+03
5.139853356410710407e-04 6.652499916931272019e+05 1.488031613636959491e+03 1.488031613636959491e+03
5.158691636850717532e-04 6.623438078507870669e+05 1.479459908046695546e+03 1.479459908046695546e+03
5.177598962219700238e-04 6.565195326018364867e+05 1.467648100893112996e+03 1.467648100893112996e+03
5.196575585576971397e-04 6.533678919176044874e+05 1.458843020612503096e+03 1.458843020612503096e+03
5.215621760909327879e-04 6.457691151883256389e+05 1.445089556016399229e+03 1.445089556016399229e+03
5.234737743134475554e-04 6.443146647070875624e+05 1.438223874425250642e+03 1.438223874425250642e+03
5.253923788104429343e-04 6.370127577680242248e+05 1.424845599524825047e+03 1.424845599524825047e+03
5.273180152608931710e-04 6.333812039988568285e+05 1.415589958590750030e+03 1.415589958590750030e+03
5.292507094378905846e-04 6.284662496746160323e+05 1.404921001088728417e+03 1.404921001088728417e+03
5.311904872089876330e-04 6.257507245627142256e+05 1.396730214843794784e+03 1.396730214843794784e+03
5.331373745365465674e-04 6.185175897330932785e+05 1.383514390851507642e+03 1.383514390851507642e+03
5.350913974780847513e-04 6.135850492728251265e+05 1.372889942232588510e+03 1.372889942232588510e+03
5.370525821866247492e-04 6.060855542856822722e+05 1.359411273129688198e+03 1.359411273129688198e+03
5.390209549110417048e-04 6.023748776511625620e+05 1.350198933371864541e+03 1.350198933371864541e+03
5.409965419964184175e-04 6.031835298916931497e+05 1.346059867479214290e+03 1.346059867479214290e+03
5.429793698843953225e-04 5.957722973357161973e+05 1.332753896775526073e+03 1.332753896775526073e+03
5.449694651135258928e-04 5.934664425680836430e+05 1.325174052826245315e+03 1.325174052826245315e+03
5.469668543196293297e-04 5.906249175965016475e+05 1.317014672444149028e+03 1.317014672444149028e+03
5.489715642361506264e-04 5.836632113891514018e+05 1.304279403377145172e+03 1.304279403377145172e+03
5.509836216945159697e-04 5.781447964670681395e+05 1.293175246165633780e+03 1.293175246165633780e+03
5.530030536244930203e-04 5.743048593361442909e+05 1.283969658374966230e+03 1.283969658374966230e+03
5.550298870545490246e-04 5.699094627759277355e+05 1.274165189341167661e+03 1.274165189341167661e+03
5.570641491122160826e-04 5.650565136811918346e+05 1.263871351573349330e+03 1.263871351573349330e+03
5.591058670244520787e-04 5.612718759456558619e+05 1.254794271072356196e+03 1.254794271072356196e+03
5.611550681180059496e-04 5.561180788286188617e+05 1.244208555255640476e+03 1.244208555255640476e+03
5.632117798197812169e-04 5.523396586787586566e+05 1.235183283213190634e+03 1.235183283213190634e+03
5.652760296572064596e-04 5.498944408124085749e+05 1.227669291272063219e+03 1.227669291272063219e+03
5.673478452586019904e-04 5.426517684041799512e+05 1.214816247387037038e+03 1.214816247387037038e+03
5.694272543535497865e-04 5.389430383984645596e+05 1.205936602648812368e+03 1.205936602648812368e+03
5.715142847732633102e-04 5.353936163602045272e+05 1.197257338498895479e+03 1.197257338498895479e+03
5.736089644509627513e-04 5.311049370837467723e+05 1.187773831617914766e+03 1.187773831617914766e+03
5.757113214222471260e-04 5.280081264137381222e+05 1.179645057865643366e+03 1.179645057865643366e+03
